,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1562.0,351.0,8.0,1.0,8542189.0,0.0,416.0
42,2068.0,466.0,10.0,1.0,8541430.0,0.0,552.0
43,2738.0,617.0,14.0,2.0,8540426.0,0.0,732.0
44,3625.0,816.0,18.0,2.0,8539096.0,0.0,970.0
45,4798.0,1081.0,24.0,3.0,8537337.0,0.0,1285.0
46,6350.0,1431.0,31.0,4.0,8535009.0,0.0,1702.0
47,8402.0,1894.0,41.0,5.0,8531930.0,0.0,2254.0
48,11115.0,2507.0,55.0,7.0,8527859.0,0.0,2984.0
49,14700.0,3318.0,73.0,9.0,8522478.0,0.0,3950.0
50,19434.0,4389.0,96.0,12.0,8515368.0,0.0,5228.0
51,25679.0,5804.0,127.0,16.0,8505983.0,0.0,6918.0
52,33911.0,7672.0,168.0,21.0,8493604.0,0.0,9150.0
53,44744.0,10137.0,222.0,28.0,8477296.0,0.0,12099.0
54,58973.0,13385.0,294.0,37.0,8455847.0,0.0,15991.0
55,77617.0,17658.0,389.0,49.0,8427695.0,0.0,21120.0
56,101965.0,23267.0,513.0,65.0,8390843.0,0.0,27873.0
57,133627.0,30614.0,677.0,86.0,8342776.0,0.0,36747.0
58,174569.0,40202.0,893.0,114.0,8280369.0,0.0,48381.0
59,227130.0,52661.0,1175.0,150.0,8199823.0,0.0,63588.0
60,293980.0,68757.0,1545.0,198.0,8096658.0,0.0,83389.0
61,377995.0,89404.0,2026.0,261.0,7965798.0,0.0,109043.0
62,481995.0,115644.0,2649.0,343.0,7801819.0,0.0,142076.0
63,608319.0,148611.0,3453.0,451.0,7599412.0,0.0,184281.0
64,758213.0,189442.0,4480.0,591.0,7354106.0,0.0,237694.0
65,931097.0,239150.0,5782.0,773.0,7063202.0,0.0,304523.0
66,1123853.0,298437.0,7413.0,1007.0,6726798.0,0.0,387020.0
67,1330397.0,367487.0,9430.0,1306.0,6348604.0,0.0,487302.0
68,1541799.0,445769.0,11888.0,1686.0,5936249.0,0.0,607136.0
69,1747111.0,531916.0,14831.0,2163.0,5500795.0,0.0,747711.0
70,1934823.0,623719.0,18292.0,2757.0,5055472.0,0.0,909464.0
71,2094572.0,718278.0,22284.0,3486.0,4613929.0,0.0,1091977.0
72,2218616.0,812278.0,26793.0,4373.0,4188486.0,0.0,1293981.0
73,2302675.0,902324.0,31783.0,5435.0,3788856.0,0.0,1513454.0
74,2346009.0,985285.0,37192.0,6692.0,3421555.0,0.0,1747794.0
75,2350889.0,1058551.0,42937.0,8158.0,3089974.0,0.0,1994018.0
76,2282033.0,1118310.0,48910.0,9848.0,2837421.0,0.0,2248005.0
77,2193388.0,1162321.0,54972.0,11768.0,2616529.0,0.0,2505550.0
78,2090399.0,1191287.0,60982.0,13921.0,2424266.0,0.0,2763672.0
79,1977898.0,1206278.0,66816.0,16306.0,2257479.0,0.0,3019750.0
80,1859979.0,1208618.0,72369.0,18915.0,2113115.0,0.0,3271532.0
81,1739982.0,1199778.0,77549.0,21737.0,1988344.0,0.0,3517137.0
82,1620535.0,1181292.0,82287.0,24760.0,1880619.0,0.0,3755034.0
83,1503640.0,1154683.0,86527.0,27965.0,1787693.0,0.0,3984018.0
84,1390763.0,1121414.0,90234.0,31335.0,1707607.0,0.0,4203174.0
85,1282924.0,1082850.0,93384.0,34850.0,1638669.0,0.0,4411851.0
86,1180788.0,1040240.0,95968.0,38488.0,1579423.0,0.0,4609621.0
87,1084737.0,994699.0,97989.0,42229.0,1528621.0,0.0,4796252.0
88,994937.0,947207.0,99459.0,46051.0,1485197.0,0.0,4971677.0
89,911387.0,898614.0,100399.0,49933.0,1448233.0,0.0,5135962.0
90,833966.0,849640.0,100834.0,53855.0,1416946.0,0.0,5289286.0
91,762469.0,800888.0,100797.0,57798.0,1390660.0,0.0,5431915.0
92,696630.0,752853.0,100323.0,61743.0,1368793.0,0.0,5564185.0
93,636144.0,705935.0,99447.0,65675.0,1350843.0,0.0,5686483.0
94,580688.0,660445.0,98210.0,69577.0,1336374.0,0.0,5799234.0
95,529927.0,616623.0,96649.0,73435.0,1325007.0,0.0,5902886.0
96,483529.0,574642.0,94803.0,77236.0,1316411.0,0.0,5997906.0
97,441167.0,534621.0,92709.0,80970.0,1310296.0,0.0,6084764.0
98,402527.0,496632.0,90404.0,84627.0,1306407.0,0.0,6163930.0
99,367306.0,460711.0,87921.0,88197.0,1304521.0,0.0,6235870.0
100,335223.0,426860.0,85293.0,91674.0,1304439.0,0.0,6301038.0
101,306010.0,395056.0,82550.0,95052.0,1305983.0,0.0,6359875.0
102,279420.0,365258.0,79720.0,98325.0,1308999.0,0.0,6412805.0
103,255223.0,337406.0,76828.0,101491.0,1313345.0,0.0,6460234.0
104,233206.0,311430.0,73896.0,104546.0,1318897.0,0.0,6502551.0
105,213174.0,287252.0,70947.0,107489.0,1325543.0,0.0,6540122.0
106,194947.0,264788.0,67997.0,110319.0,1333182.0,0.0,6573295.0
107,178361.0,243949.0,65064.0,113034.0,1341723.0,0.0,6602396.0
108,163266.0,224645.0,62162.0,115636.0,1351084.0,0.0,6627733.0
109,149525.0,206788.0,59304.0,118125.0,1361192.0,0.0,6649593.0
110,137014.0,190286.0,56499.0,120503.0,1371979.0,0.0,6668246.0
111,125619.0,175055.0,53757.0,122772.0,1383384.0,0.0,6683940.0
112,115238.0,161008.0,51085.0,124933.0,1395353.0,0.0,6696910.0
113,105776.0,148066.0,48490.0,126989.0,1407835.0,0.0,6707371.0
114,97149.0,136149.0,45976.0,128944.0,1420784.0,0.0,6715525.0
115,89280.0,125184.0,43548.0,130800.0,1434159.0,0.0,6721557.0
116,82100.0,115100.0,41206.0,132559.0,1447922.0,0.0,6725639.0
117,75544.0,105832.0,38955.0,134227.0,1462038.0,0.0,6727931.0
118,69557.0,97317.0,36793.0,135805.0,1476475.0,0.0,6728580.0
119,64086.0,89497.0,34723.0,137297.0,1491204.0,0.0,6727720.0
120,59083.0,82318.0,32743.0,138707.0,1506200.0,0.0,6725477.0
121,54507.0,75728.0,30852.0,140038.0,1521436.0,0.0,6721965.0
122,50319.0,69681.0,29050.0,141293.0,1536892.0,0.0,6717291.0
123,46485.0,64133.0,27335.0,142477.0,1552547.0,0.0,6711551.0
124,42971.0,59042.0,25705.0,143592.0,1568381.0,0.0,6704836.0
125,39750.0,54373.0,24157.0,144641.0,1584378.0,0.0,6697228.0
126,36796.0,50089.0,22689.0,145629.0,1600522.0,0.0,6688802.0
127,34085.0,46160.0,21299.0,146557.0,1616798.0,0.0,6679628.0
128,31596.0,42555.0,19983.0,147429.0,1633193.0,0.0,6669770.0
129,29309.0,39248.0,18740.0,148248.0,1649695.0,0.0,6659287.0
130,27207.0,36214.0,17566.0,149017.0,1666291.0,0.0,6648232.0
131,25273.0,33429.0,16459.0,149738.0,1682973.0,0.0,6636655.0
132,23494.0,30873.0,15415.0,150415.0,1699729.0,0.0,6624601.0
133,21855.0,28527.0,14432.0,151049.0,1716552.0,0.0,6612112.0
134,20345.0,26372.0,13506.0,151643.0,1733433.0,0.0,6599227.0
135,18953.0,24393.0,12636.0,152200.0,1750365.0,0.0,6585980.0
136,18188.0,22600.0,11818.0,152721.0,1766785.0,0.0,6572416.0
137,17449.0,20994.0,11050.0,153209.0,1783245.0,0.0,6558579.0
138,16740.0,19552.0,10331.0,153665.0,1799741.0,0.0,6544499.0
139,16059.0,18252.0,9657.0,154092.0,1816266.0,0.0,6530201.0
140,15408.0,17077.0,9027.0,154492.0,1832815.0,0.0,6515707.0
141,14787.0,16012.0,8439.0,154865.0,1849385.0,0.0,6501039.0
142,14195.0,15044.0,7889.0,155215.0,1865970.0,0.0,6486215.0
143,13631.0,14162.0,7375.0,155542.0,1882566.0,0.0,6471251.0
144,13095.0,13355.0,6897.0,155848.0,1899171.0,0.0,6456161.0
