,Infected asymptomatic,Infected symptomatic,Critical Cases,Deceased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1206.0,336.0,8.0,1.0,8542567.0,0.0,409.0
42,1237.0,399.0,10.0,1.0,8542366.0,0.0,514.0
43,1271.0,456.0,12.0,2.0,8542157.0,0.0,629.0
44,1308.0,508.0,15.0,2.0,8541940.0,0.0,754.0
45,1347.0,557.0,18.0,3.0,8541715.0,0.0,887.0
46,1389.0,602.0,21.0,3.0,8541483.0,0.0,1029.0
47,1434.0,644.0,24.0,4.0,8541242.0,0.0,1179.0
48,1481.0,685.0,27.0,5.0,8540993.0,0.0,1336.0
49,1531.0,724.0,30.0,6.0,8540734.0,0.0,1502.0
50,1583.0,762.0,33.0,7.0,8540467.0,0.0,1674.0
51,1637.0,800.0,36.0,8.0,8540191.0,0.0,1855.0
52,1693.0,837.0,39.0,10.0,8539905.0,0.0,2042.0
53,1752.0,874.0,42.0,11.0,8539609.0,0.0,2238.0
54,1814.0,912.0,46.0,13.0,8539302.0,0.0,2441.0
55,1877.0,950.0,49.0,14.0,8538985.0,0.0,2652.0
56,1944.0,988.0,52.0,16.0,8538657.0,0.0,2870.0
57,2012.0,1027.0,55.0,18.0,8538318.0,0.0,3097.0
58,2084.0,1066.0,58.0,20.0,8537966.0,0.0,3332.0
59,2158.0,1107.0,61.0,22.0,8537603.0,0.0,3576.0
60,2234.0,1149.0,65.0,25.0,8537227.0,0.0,3828.0
61,2314.0,1192.0,68.0,27.0,8536837.0,0.0,4089.0
62,2396.0,1236.0,71.0,29.0,8536435.0,0.0,4360.0
63,2481.0,1281.0,75.0,32.0,8536018.0,0.0,4640.0
64,2570.0,1328.0,78.0,35.0,8535586.0,0.0,4930.0
65,2661.0,1376.0,82.0,37.0,8535140.0,0.0,5230.0
66,2756.0,1426.0,85.0,40.0,8534678.0,0.0,5541.0
67,2854.0,1478.0,89.0,43.0,8534200.0,0.0,5863.0
68,2956.0,1531.0,92.0,47.0,8533705.0,0.0,6196.0
69,3061.0,1586.0,96.0,50.0,8533193.0,0.0,6540.0
70,3170.0,1643.0,100.0,54.0,8532663.0,0.0,6897.0
71,3283.0,1702.0,104.0,57.0,8532115.0,0.0,7266.0
72,3399.0,1763.0,108.0,61.0,8531548.0,0.0,7648.0
73,3520.0,1826.0,112.0,65.0,8530960.0,0.0,8043.0
74,3645.0,1892.0,117.0,69.0,8530353.0,0.0,8452.0
75,3775.0,1959.0,121.0,73.0,8529724.0,0.0,8875.0
76,3909.0,2029.0,126.0,77.0,8529073.0,0.0,9313.0
77,4048.0,2101.0,130.0,82.0,8528399.0,0.0,9766.0
78,4192.0,2176.0,135.0,87.0,8527702.0,0.0,10235.0
79,4340.0,2254.0,140.0,92.0,8526980.0,0.0,10721.0
80,4494.0,2334.0,145.0,97.0,8526234.0,0.0,11223.0
81,4653.0,2417.0,151.0,102.0,8525461.0,0.0,11743.0
82,4818.0,2503.0,156.0,107.0,8524661.0,0.0,12281.0
83,4989.0,2591.0,162.0,113.0,8523834.0,0.0,12838.0
84,5165.0,2683.0,168.0,119.0,8522978.0,0.0,13414.0
85,5348.0,2779.0,174.0,125.0,8522091.0,0.0,14010.0
86,5537.0,2877.0,180.0,131.0,8521174.0,0.0,14627.0
87,5732.0,2979.0,187.0,138.0,8520225.0,0.0,15266.0
88,5935.0,3084.0,193.0,144.0,8519243.0,0.0,15927.0
89,6144.0,3194.0,200.0,151.0,8518227.0,0.0,16611.0
90,6360.0,3306.0,208.0,159.0,8517176.0,0.0,17318.0
91,6584.0,3423.0,215.0,166.0,8516088.0,0.0,18051.0
92,6816.0,3544.0,223.0,174.0,8514962.0,0.0,18809.0
93,7056.0,3669.0,231.0,182.0,8513797.0,0.0,19593.0
94,7303.0,3799.0,239.0,190.0,8512592.0,0.0,20404.0
95,7560.0,3932.0,247.0,199.0,8511345.0,0.0,21244.0
96,7825.0,4071.0,256.0,208.0,8510054.0,0.0,22113.0
97,8099.0,4214.0,265.0,217.0,8508720.0,0.0,23012.0
98,8382.0,4362.0,275.0,227.0,8507339.0,0.0,23943.0
99,8675.0,4515.0,284.0,237.0,8505910.0,0.0,24905.0
100,8978.0,4674.0,294.0,247.0,8504432.0,0.0,25901.0
101,9292.0,4838.0,305.0,257.0,8502903.0,0.0,26932.0
102,9615.0,5007.0,316.0,268.0,8501322.0,0.0,27998.0
103,9950.0,5182.0,327.0,280.0,8499686.0,0.0,29102.0
104,10296.0,5364.0,338.0,292.0,8497994.0,0.0,30243.0
105,10654.0,5551.0,350.0,304.0,8496244.0,0.0,31424.0
106,11023.0,5745.0,362.0,316.0,8494435.0,0.0,32646.0
107,11405.0,5945.0,375.0,330.0,8492563.0,0.0,33909.0
108,11800.0,6152.0,388.0,343.0,8490627.0,0.0,35217.0
109,12208.0,6366.0,402.0,357.0,8488626.0,0.0,36569.0
110,12629.0,6587.0,416.0,372.0,8486556.0,0.0,37968.0
111,13064.0,6815.0,431.0,387.0,8484416.0,0.0,39415.0
112,13513.0,7051.0,446.0,402.0,8482203.0,0.0,40912.0
113,13977.0,7295.0,461.0,418.0,8479915.0,0.0,42460.0
114,14456.0,7547.0,477.0,435.0,8477550.0,0.0,44061.0
115,14951.0,7807.0,494.0,452.0,8475106.0,0.0,45717.0
116,15462.0,8076.0,511.0,470.0,8472579.0,0.0,47429.0
117,15989.0,8354.0,529.0,488.0,8469967.0,0.0,49200.0
118,16533.0,8641.0,547.0,507.0,8467267.0,0.0,51030.0
119,17095.0,8937.0,566.0,527.0,8464478.0,0.0,52924.0
120,17675.0,9243.0,586.0,548.0,8461595.0,0.0,54881.0
121,18272.0,9559.0,606.0,569.0,8458616.0,0.0,56904.0
122,18889.0,9885.0,627.0,591.0,8455539.0,0.0,58996.0
123,19526.0,10221.0,649.0,613.0,8452359.0,0.0,61159.0
124,20182.0,10568.0,671.0,637.0,8449075.0,0.0,63394.0
125,20858.0,10926.0,694.0,661.0,8445682.0,0.0,65705.0
126,28658.0,11608.0,719.0,686.0,8434605.0,0.0,68251.0
127,38677.0,12999.0,750.0,712.0,8420069.0,0.0,71321.0
128,51622.0,15231.0,791.0,739.0,8401008.0,0.0,75135.0
129,68397.0,18491.0,851.0,768.0,8376048.0,0.0,79972.0
130,90137.0,23029.0,936.0,800.0,8343440.0,0.0,86185.0
131,118264.0,29179.0,1055.0,835.0,8300972.0,0.0,94222.0
132,154518.0,37369.0,1220.0,876.0,8245890.0,0.0,104656.0
133,200988.0,48139.0,1444.0,923.0,8174824.0,0.0,118209.0
134,260094.0,62161.0,1746.0,979.0,8083759.0,0.0,135787.0
135,334508.0,80240.0,2148.0,1048.0,7968069.0,0.0,158514.0
136,426970.0,103317.0,2677.0,1133.0,7822677.0,0.0,187754.0
137,539960.0,132437.0,3366.0,1240.0,7642398.0,0.0,225126.0
138,675210.0,168693.0,4256.0,1375.0,7422497.0,0.0,272497.0
139,833055.0,213120.0,5393.0,1545.0,7159480.0,0.0,331934.0
140,1011750.0,266544.0,6827.0,1762.0,6852038.0,0.0,405607.0
141,1206903.0,329398.0,8613.0,2037.0,6501929.0,0.0,495648.0
142,1411317.0,401523.0,10805.0,2382.0,6114547.0,0.0,603954.0
143,1615415.0,482013.0,13451.0,2815.0,5698855.0,0.0,731978.0
144,1808325.0,569149.0,16590.0,3354.0,5266575.0,0.0,880535.0
145,1979401.0,660468.0,20244.0,4016.0,4830741.0,0.0,1049658.0
146,2119766.0,752961.0,24412.0,4821.0,4404013.0,0.0,1238555.0
147,2223454.0,843366.0,29071.0,5790.0,3997199.0,0.0,1445648.0
148,2287880.0,928501.0,34175.0,6940.0,3618325.0,0.0,1668706.0
149,2313645.0,1005552.0,39651.0,8290.0,3272367.0,0.0,1905021.0
150,2303868.0,1072284.0,45412.0,9851.0,2961505.0,0.0,2151607.0
151,2263316.0,1127146.0,51356.0,11636.0,2685692.0,0.0,2405381.0
