,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1562.0,351.0,8.0,1.0,8542189.0,0.0,416.0
42,2068.0,466.0,10.0,1.0,8541430.0,0.0,552.0
43,2738.0,617.0,14.0,2.0,8540426.0,0.0,732.0
44,3625.0,816.0,18.0,2.0,8539096.0,0.0,970.0
45,4798.0,1081.0,24.0,3.0,8537337.0,0.0,1285.0
46,6350.0,1431.0,31.0,4.0,8535009.0,0.0,1702.0
47,8402.0,1894.0,41.0,5.0,8531930.0,0.0,2254.0
48,11115.0,2507.0,55.0,7.0,8527859.0,0.0,2984.0
49,14700.0,3318.0,73.0,9.0,8522478.0,0.0,3950.0
50,19434.0,4389.0,96.0,12.0,8515368.0,0.0,5228.0
51,25679.0,5804.0,127.0,16.0,8505983.0,0.0,6918.0
52,33911.0,7672.0,168.0,21.0,8493604.0,0.0,9150.0
53,44744.0,10137.0,222.0,28.0,8477296.0,0.0,12099.0
54,58973.0,13385.0,294.0,37.0,8455847.0,0.0,15991.0
55,77617.0,17658.0,389.0,49.0,8427695.0,0.0,21120.0
56,101965.0,23267.0,513.0,65.0,8390843.0,0.0,27873.0
57,133627.0,30614.0,677.0,86.0,8342776.0,0.0,36747.0
58,174569.0,40202.0,893.0,114.0,8280369.0,0.0,48381.0
59,227130.0,52661.0,1175.0,150.0,8199823.0,0.0,63588.0
60,293980.0,68757.0,1545.0,198.0,8096658.0,0.0,83389.0
61,377995.0,89404.0,2026.0,261.0,7965798.0,0.0,109043.0
62,481995.0,115644.0,2649.0,343.0,7801819.0,0.0,142076.0
63,608319.0,148611.0,3453.0,451.0,7599412.0,0.0,184281.0
64,758213.0,189442.0,4480.0,591.0,7354106.0,0.0,237694.0
65,931097.0,239150.0,5782.0,773.0,7063202.0,0.0,304523.0
66,1123853.0,298437.0,7413.0,1007.0,6726798.0,0.0,387020.0
67,1330397.0,367487.0,9430.0,1306.0,6348604.0,0.0,487302.0
68,1541799.0,445769.0,11888.0,1686.0,5936249.0,0.0,607136.0
69,1747111.0,531916.0,14831.0,2163.0,5500795.0,0.0,747711.0
70,1934823.0,623719.0,18292.0,2757.0,5055472.0,0.0,909464.0
71,2094572.0,718278.0,22284.0,3486.0,4613929.0,0.0,1091977.0
72,2218616.0,812278.0,26793.0,4373.0,4188486.0,0.0,1293981.0
73,2302675.0,902324.0,31783.0,5435.0,3788856.0,0.0,1513454.0
74,2346009.0,985285.0,37192.0,6692.0,3421555.0,0.0,1747794.0
75,2350889.0,1058551.0,42937.0,8158.0,3089974.0,0.0,1994018.0
76,2282033.0,1118310.0,48910.0,9848.0,2837421.0,0.0,2248005.0
77,2193388.0,1162321.0,54972.0,11768.0,2616529.0,0.0,2505550.0
78,2090399.0,1191287.0,60982.0,13921.0,2424266.0,0.0,2763672.0
79,1977898.0,1206278.0,66816.0,16306.0,2257479.0,0.0,3019750.0
80,1859979.0,1208618.0,72369.0,18915.0,2113115.0,0.0,3271532.0
81,1739982.0,1199778.0,77549.0,21737.0,1988344.0,0.0,3517137.0
82,1620535.0,1181292.0,82287.0,24760.0,1880619.0,0.0,3755034.0
83,1503640.0,1154683.0,86527.0,27965.0,1787693.0,0.0,3984018.0
84,1390763.0,1121414.0,90234.0,31335.0,1707607.0,0.0,4203174.0
85,1282924.0,1082850.0,93384.0,34850.0,1638669.0,0.0,4411851.0
86,1180788.0,1040240.0,95968.0,38488.0,1579423.0,0.0,4609621.0
87,1084737.0,994699.0,97989.0,42229.0,1528621.0,0.0,4796252.0
88,994937.0,947207.0,99459.0,46051.0,1485197.0,0.0,4971677.0
89,911387.0,898614.0,100399.0,49933.0,1448233.0,0.0,5135962.0
90,833966.0,849640.0,100834.0,53855.0,1416946.0,0.0,5289286.0
91,762469.0,800888.0,100797.0,57798.0,1390660.0,0.0,5431915.0
92,696630.0,752853.0,100323.0,61743.0,1368793.0,0.0,5564185.0
93,636144.0,705935.0,99447.0,65675.0,1350843.0,0.0,5686483.0
94,580688.0,660445.0,98210.0,69577.0,1336374.0,0.0,5799234.0
95,529927.0,616623.0,96649.0,73435.0,1325007.0,0.0,5902886.0
96,483529.0,574642.0,94803.0,77236.0,1316411.0,0.0,5997906.0
97,441167.0,534621.0,92709.0,80970.0,1310296.0,0.0,6084764.0
98,402527.0,496632.0,90404.0,84627.0,1306407.0,0.0,6163930.0
99,367306.0,460711.0,87921.0,88197.0,1304521.0,0.0,6235870.0
100,335223.0,426860.0,85293.0,91674.0,1304439.0,0.0,6301038.0
101,306010.0,395056.0,82550.0,95052.0,1305983.0,0.0,6359875.0
102,279420.0,365258.0,79720.0,98325.0,1308999.0,0.0,6412805.0
103,255223.0,337406.0,76828.0,101491.0,1313345.0,0.0,6460234.0
104,233206.0,311430.0,73896.0,104546.0,1318897.0,0.0,6502551.0
105,213174.0,287252.0,70947.0,107489.0,1325543.0,0.0,6540122.0
106,194947.0,264788.0,67997.0,110319.0,1333182.0,0.0,6573295.0
107,178361.0,243949.0,65064.0,113034.0,1341723.0,0.0,6602396.0
108,163266.0,224645.0,62162.0,115636.0,1351084.0,0.0,6627733.0
109,149525.0,206788.0,59304.0,118125.0,1361192.0,0.0,6649593.0
110,137014.0,190286.0,56499.0,120503.0,1371979.0,0.0,6668246.0
111,125619.0,175055.0,53757.0,122772.0,1383384.0,0.0,6683940.0
112,115238.0,161008.0,51085.0,124933.0,1395353.0,0.0,6696910.0
113,105776.0,148066.0,48490.0,126989.0,1407835.0,0.0,6707371.0
114,97149.0,136149.0,45976.0,128944.0,1420784.0,0.0,6715525.0
115,89280.0,125184.0,43548.0,130800.0,1434159.0,0.0,6721557.0
116,84202.0,115200.0,41207.0,132559.0,1445669.0,0.0,6725690.0
117,79411.0,106192.0,38958.0,134227.0,1457598.0,0.0,6728141.0
118,74897.0,98047.0,36805.0,135805.0,1469911.0,0.0,6729061.0
119,70649.0,90667.0,34747.0,137298.0,1482578.0,0.0,6728588.0
120,66655.0,83965.0,32786.0,138709.0,1495569.0,0.0,6726842.0
121,62903.0,77869.0,30919.0,140043.0,1508859.0,0.0,6723935.0
122,59380.0,72311.0,29146.0,141302.0,1522423.0,0.0,6719964.0
123,56074.0,67237.0,27464.0,142490.0,1536240.0,0.0,6715021.0
124,52973.0,62596.0,25871.0,143612.0,1550289.0,0.0,6709186.0
125,50065.0,58344.0,24363.0,144670.0,1564552.0,0.0,6702533.0
126,47339.0,54443.0,22938.0,145667.0,1579012.0,0.0,6695128.0
127,44783.0,50859.0,21591.0,146607.0,1593652.0,0.0,6687034.0
128,42387.0,47561.0,20321.0,147493.0,1608459.0,0.0,6678306.0
129,40142.0,44523.0,19122.0,148328.0,1623418.0,0.0,6668994.0
130,38037.0,41721.0,17992.0,149115.0,1638516.0,0.0,6659145.0
131,36064.0,39134.0,16927.0,149856.0,1653743.0,0.0,6648803.0
132,34214.0,36742.0,15925.0,150554.0,1669087.0,0.0,6638005.0
133,32479.0,34529.0,14981.0,151212.0,1684538.0,0.0,6626787.0
134,30853.0,32479.0,14093.0,151831.0,1700087.0,0.0,6615184.0
135,29327.0,30578.0,13258.0,152414.0,1715724.0,0.0,6603225.0
136,27895.0,28815.0,12473.0,152964.0,1731443.0,0.0,6590938.0
137,26551.0,27176.0,11735.0,153481.0,1747235.0,0.0,6578349.0
138,25290.0,25654.0,11041.0,153968.0,1763093.0,0.0,6565481.0
139,24106.0,24237.0,10389.0,154427.0,1779010.0,0.0,6552357.0
140,22993.0,22919.0,9777.0,154859.0,1794981.0,0.0,6538998.0
141,21948.0,21690.0,9202.0,155266.0,1811000.0,0.0,6525421.0
142,20966.0,20545.0,8662.0,155650.0,1827060.0,0.0,6511644.0
143,20043.0,19476.0,8155.0,156011.0,1843158.0,0.0,6497684.0
144,19174.0,18479.0,7679.0,156351.0,1859288.0,0.0,6483555.0
