,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1562.0,351.0,8.0,1.0,8542189.0,0.0,416.0
42,2068.0,466.0,10.0,1.0,8541430.0,0.0,552.0
43,2738.0,617.0,14.0,2.0,8540426.0,0.0,732.0
44,3625.0,816.0,18.0,2.0,8539096.0,0.0,970.0
45,4798.0,1081.0,24.0,3.0,8537337.0,0.0,1285.0
46,6350.0,1431.0,31.0,4.0,8535009.0,0.0,1702.0
47,8402.0,1894.0,41.0,5.0,8531930.0,0.0,2254.0
48,11115.0,2507.0,55.0,7.0,8527859.0,0.0,2984.0
49,14700.0,3318.0,73.0,9.0,8522478.0,0.0,3950.0
50,19434.0,4389.0,96.0,12.0,8515368.0,0.0,5228.0
51,25679.0,5804.0,127.0,16.0,8505983.0,0.0,6918.0
52,33911.0,7672.0,168.0,21.0,8493604.0,0.0,9150.0
53,44744.0,10137.0,222.0,28.0,8477296.0,0.0,12099.0
54,58973.0,13385.0,294.0,37.0,8455847.0,0.0,15991.0
55,77617.0,17658.0,389.0,49.0,8427695.0,0.0,21120.0
56,101965.0,23267.0,513.0,65.0,8390843.0,0.0,27873.0
57,133627.0,30614.0,677.0,86.0,8342776.0,0.0,36747.0
58,174569.0,40202.0,893.0,114.0,8280369.0,0.0,48381.0
59,227130.0,52661.0,1175.0,150.0,8199823.0,0.0,63588.0
60,293980.0,68757.0,1545.0,198.0,8096658.0,0.0,83389.0
61,377995.0,89404.0,2026.0,261.0,7965798.0,0.0,109043.0
62,481995.0,115644.0,2649.0,343.0,7801819.0,0.0,142076.0
63,608319.0,148611.0,3453.0,451.0,7599412.0,0.0,184281.0
64,758213.0,189442.0,4480.0,591.0,7354106.0,0.0,237694.0
65,931097.0,239150.0,5782.0,773.0,7063202.0,0.0,304523.0
66,1123853.0,298437.0,7413.0,1007.0,6726798.0,0.0,387020.0
67,1330397.0,367487.0,9430.0,1306.0,6348604.0,0.0,487302.0
68,1541799.0,445769.0,11888.0,1686.0,5936249.0,0.0,607136.0
69,1747111.0,531916.0,14831.0,2163.0,5500795.0,0.0,747711.0
70,1934823.0,623719.0,18292.0,2757.0,5055472.0,0.0,909464.0
71,2094572.0,718278.0,22284.0,3486.0,4613929.0,0.0,1091977.0
72,2218616.0,812278.0,26793.0,4373.0,4188486.0,0.0,1293981.0
73,2302675.0,902324.0,31783.0,5435.0,3788856.0,0.0,1513454.0
74,2346009.0,985285.0,37192.0,6692.0,3421555.0,0.0,1747794.0
75,2350889.0,1058551.0,42937.0,8158.0,3089974.0,0.0,1994018.0
76,2321714.0,1120199.0,48917.0,9848.0,2794881.0,0.0,2248967.0
77,2264082.0,1169040.0,55025.0,11769.0,2535127.0,0.0,2509484.0
78,2183987.0,1204588.0,61146.0,13926.0,2308328.0,0.0,2772550.0
79,2087232.0,1226967.0,67170.0,16321.0,2111449.0,0.0,3035387.0
80,1979061.0,1236789.0,72991.0,18950.0,1941219.0,0.0,3295517.0
81,1863979.0,1235019.0,78515.0,21805.0,1794413.0,0.0,3550796.0
82,1745693.0,1222860.0,83662.0,24876.0,1668015.0,0.0,3799421.0
83,1627147.0,1201645.0,88364.0,28149.0,1559302.0,0.0,4039921.0
84,1510595.0,1172751.0,92570.0,31607.0,1465865.0,0.0,4271139.0
85,1397700.0,1137536.0,96244.0,35232.0,1385613.0,0.0,4492202.0
86,1289631.0,1097293.0,99362.0,39004.0,1316745.0,0.0,4702493.0
87,1187160.0,1053216.0,101913.0,42902.0,1257718.0,0.0,4901617.0
88,1090744.0,1006385.0,103900.0,46905.0,1207221.0,0.0,5089372.0
89,1000597.0,957756.0,105332.0,50990.0,1164135.0,0.0,5265716.0
90,916750.0,908157.0,106230.0,55138.0,1127510.0,0.0,5430743.0
91,828381.0,857786.0,106614.0,59327.0,1108024.0,0.0,5584394.0
92,748270.0,806952.0,106505.0,63538.0,1092582.0,0.0,5726680.0
93,675762.0,756440.0,105926.0,67751.0,1080689.0,0.0,5857959.0
94,610222.0,706868.0,104912.0,71946.0,1071922.0,0.0,5978658.0
95,551040.0,658707.0,103498.0,76108.0,1065918.0,0.0,6089255.0
96,497646.0,612307.0,101727.0,80219.0,1062366.0,0.0,6190261.0
97,449503.0,567919.0,99639.0,84266.0,1060996.0,0.0,6282203.0
98,406117.0,525710.0,97277.0,88235.0,1061572.0,0.0,6365615.0
99,367030.0,485781.0,94682.0,92116.0,1063889.0,0.0,6441029.0
100,331824.0,448177.0,91893.0,95899.0,1067766.0,0.0,6508967.0
101,300117.0,412902.0,88948.0,99575.0,1073046.0,0.0,6569939.0
102,271562.0,379926.0,85881.0,103138.0,1079586.0,0.0,6624433.0
103,245844.0,349192.0,82725.0,106583.0,1087263.0,0.0,6672920.0
104,222677.0,320625.0,79509.0,109907.0,1095964.0,0.0,6715845.0
105,201804.0,294136.0,76260.0,113105.0,1105592.0,0.0,6753631.0
106,186645.0,269799.0,73001.0,116176.0,1112141.0,0.0,6786764.0
107,172682.0,247613.0,69759.0,119121.0,1119637.0,0.0,6815715.0
108,159824.0,227376.0,66554.0,121938.0,1127995.0,0.0,6840840.0
109,147986.0,208905.0,63405.0,124630.0,1137142.0,0.0,6862460.0
110,137089.0,192038.0,60324.0,127198.0,1147007.0,0.0,6880871.0
111,127058.0,176627.0,57323.0,129644.0,1157531.0,0.0,6896343.0
112,117824.0,162542.0,54410.0,131972.0,1168658.0,0.0,6909122.0
113,109322.0,149661.0,51592.0,134185.0,1180335.0,0.0,6919433.0
114,101492.0,137876.0,48873.0,136287.0,1192518.0,0.0,6927480.0
115,94281.0,127091.0,46257.0,138280.0,1205164.0,0.0,6933454.0
116,87637.0,117216.0,43745.0,140170.0,1218235.0,0.0,6937525.0
117,81513.0,108170.0,41338.0,141959.0,1231695.0,0.0,6939852.0
118,75868.0,99881.0,39036.0,143653.0,1245511.0,0.0,6940579.0
119,70661.0,92282.0,36837.0,145254.0,1259656.0,0.0,6939838.0
120,65856.0,85312.0,34742.0,146767.0,1274100.0,0.0,6937749.0
121,61421.0,78918.0,32747.0,148196.0,1288819.0,0.0,6934425.0
122,57326.0,73049.0,30850.0,149545.0,1303791.0,0.0,6929966.0
123,53541.0,67660.0,29049.0,150818.0,1318993.0,0.0,6924466.0
124,50043.0,62709.0,27340.0,152017.0,1334406.0,0.0,6918011.0
125,46808.0,58159.0,25721.0,153148.0,1350013.0,0.0,6910678.0
126,43814.0,53975.0,24189.0,154213.0,1365796.0,0.0,6902539.0
127,41043.0,50127.0,22739.0,155216.0,1381740.0,0.0,6893662.0
128,38476.0,46586.0,21369.0,156160.0,1397831.0,0.0,6884106.0
129,36097.0,43325.0,20075.0,157048.0,1414055.0,0.0,6873926.0
130,33891.0,40321.0,18855.0,157884.0,1430402.0,0.0,6863175.0
131,31844.0,37553.0,17704.0,158669.0,1446858.0,0.0,6851899.0
132,29945.0,35001.0,16619.0,159407.0,1463414.0,0.0,6840142.0
133,28180.0,32646.0,15597.0,160101.0,1480059.0,0.0,6827943.0
134,26541.0,30473.0,14635.0,160753.0,1496786.0,0.0,6815338.0
135,25017.0,28467.0,13731.0,161365.0,1513585.0,0.0,6802363.0
136,23599.0,26613.0,12880.0,161940.0,1530449.0,0.0,6789046.0
137,22279.0,24899.0,12080.0,162480.0,1547371.0,0.0,6775417.0
138,21050.0,23314.0,11329.0,162987.0,1564343.0,0.0,6761503.0
139,19905.0,21848.0,10624.0,163463.0,1581360.0,0.0,6747327.0
140,18838.0,20490.0,9962.0,163910.0,1598416.0,0.0,6732912.0
141,17842.0,19232.0,9340.0,164329.0,1615505.0,0.0,6718278.0
142,16913.0,18067.0,8757.0,164722.0,1632623.0,0.0,6703445.0
143,16046.0,16986.0,8210.0,165091.0,1649764.0,0.0,6688429.0
144,15236.0,15983.0,7698.0,165437.0,1666925.0,0.0,6673248.0
