,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1562.0,351.0,8.0,1.0,8542189.0,0.0,416.0
42,2068.0,466.0,10.0,1.0,8541430.0,0.0,552.0
43,2738.0,617.0,14.0,2.0,8540426.0,0.0,732.0
44,3625.0,816.0,18.0,2.0,8539096.0,0.0,970.0
45,4798.0,1081.0,24.0,3.0,8537337.0,0.0,1285.0
46,6350.0,1431.0,31.0,4.0,8535009.0,0.0,1702.0
47,8402.0,1894.0,41.0,5.0,8531930.0,0.0,2254.0
48,11115.0,2507.0,55.0,7.0,8527859.0,0.0,2984.0
49,14700.0,3318.0,73.0,9.0,8522478.0,0.0,3950.0
50,19434.0,4389.0,96.0,12.0,8515368.0,0.0,5228.0
51,25679.0,5804.0,127.0,16.0,8505983.0,0.0,6918.0
52,33911.0,7672.0,168.0,21.0,8493604.0,0.0,9150.0
53,44744.0,10137.0,222.0,28.0,8477296.0,0.0,12099.0
54,58973.0,13385.0,294.0,37.0,8455847.0,0.0,15991.0
55,77617.0,17658.0,389.0,49.0,8427695.0,0.0,21120.0
56,101965.0,23267.0,513.0,65.0,8390843.0,0.0,27873.0
57,133627.0,30614.0,677.0,86.0,8342776.0,0.0,36747.0
58,174569.0,40202.0,893.0,114.0,8280369.0,0.0,48381.0
59,227130.0,52661.0,1175.0,150.0,8199823.0,0.0,63588.0
60,293980.0,68757.0,1545.0,198.0,8096658.0,0.0,83389.0
61,377995.0,89404.0,2026.0,261.0,7965798.0,0.0,109043.0
62,481995.0,115644.0,2649.0,343.0,7801819.0,0.0,142076.0
63,608319.0,148611.0,3453.0,451.0,7599412.0,0.0,184281.0
64,758213.0,189442.0,4480.0,591.0,7354106.0,0.0,237694.0
65,931097.0,239150.0,5782.0,773.0,7063202.0,0.0,304523.0
66,1123853.0,298437.0,7413.0,1007.0,6726798.0,0.0,387020.0
67,1330397.0,367487.0,9430.0,1306.0,6348604.0,0.0,487302.0
68,1541799.0,445769.0,11888.0,1686.0,5936249.0,0.0,607136.0
69,1747111.0,531916.0,14831.0,2163.0,5500795.0,0.0,747711.0
70,1934823.0,623719.0,18292.0,2757.0,5055472.0,0.0,909464.0
71,1879023.0,708123.0,22251.0,3486.0,4844839.0,0.0,1086805.0
72,1823294.0,775417.0,26546.0,4368.0,4642492.0,0.0,1272410.0
73,1766560.0,827993.0,31017.0,5412.0,4449603.0,0.0,1463942.0
74,1708256.0,867834.0,35535.0,6623.0,4266933.0,0.0,1659346.0
75,1648202.0,896603.0,39997.0,8003.0,4094909.0,0.0,1856813.0
76,1586487.0,915724.0,44323.0,9546.0,3933690.0,0.0,2054757.0
77,1523383.0,926434.0,48450.0,11250.0,3783220.0,0.0,2251790.0
78,1459271.0,929826.0,52329.0,13105.0,3643284.0,0.0,2446711.0
79,1394591.0,926872.0,55925.0,15103.0,3513547.0,0.0,2638489.0
80,1329799.0,918446.0,59211.0,17233.0,3393592.0,0.0,2826246.0
81,1265340.0,905342.0,62169.0,19485.0,3282947.0,0.0,3009246.0
82,1201626.0,888275.0,64790.0,21845.0,3181107.0,0.0,3186883.0
83,1139029.0,867897.0,67070.0,24303.0,3087555.0,0.0,3358672.0
84,1077871.0,844798.0,69009.0,26846.0,3001772.0,0.0,3524230.0
85,1018422.0,819509.0,70614.0,29461.0,2923248.0,0.0,3683273.0
86,960899.0,792509.0,71892.0,32137.0,2851490.0,0.0,3835601.0
87,905472.0,764226.0,72855.0,34861.0,2786023.0,0.0,3981090.0
88,852266.0,735039.0,73518.0,37623.0,2726401.0,0.0,4119680.0
89,801365.0,705284.0,73895.0,40411.0,2672199.0,0.0,4251372.0
90,752819.0,675254.0,74005.0,43215.0,2623021.0,0.0,4376213.0
91,706643.0,645204.0,73864.0,46025.0,2578496.0,0.0,4494294.0
92,662832.0,615352.0,73492.0,48832.0,2538279.0,0.0,4605740.0
93,621354.0,585883.0,72907.0,51627.0,2502050.0,0.0,4710705.0
94,582163.0,556953.0,72129.0,54402.0,2469512.0,0.0,4809367.0
95,545198.0,528690.0,71175.0,57151.0,2440391.0,0.0,4901921.0
96,510385.0,501199.0,70065.0,59867.0,2414433.0,0.0,4988579.0
97,477645.0,474561.0,68815.0,62543.0,2391403.0,0.0,5069559.0
98,446892.0,448840.0,67444.0,65175.0,2371085.0,0.0,5145091.0
99,418037.0,424080.0,65967.0,67757.0,2353281.0,0.0,5215405.0
100,390988.0,400314.0,64400.0,70286.0,2337805.0,0.0,5280735.0
101,365652.0,377559.0,62757.0,72758.0,2324488.0,0.0,5341313.0
102,341939.0,355823.0,61053.0,75170.0,2313172.0,0.0,5397370.0
103,319757.0,335104.0,59300.0,77519.0,2303714.0,0.0,5449132.0
104,299020.0,315392.0,57510.0,79805.0,2295980.0,0.0,5496821.0
105,279641.0,296670.0,55693.0,82024.0,2289845.0,0.0,5540653.0
106,261539.0,278917.0,53861.0,84176.0,2285197.0,0.0,5580837.0
107,244635.0,262108.0,52021.0,86260.0,2281928.0,0.0,5617576.0
108,228853.0,246212.0,50183.0,88275.0,2279942.0,0.0,5651063.0
109,214121.0,231198.0,48353.0,90222.0,2279147.0,0.0,5681485.0
110,200372.0,217034.0,46539.0,92100.0,2279461.0,0.0,5709021.0
111,187542.0,203683.0,44745.0,93910.0,2280805.0,0.0,5733842.0
112,175569.0,191111.0,42977.0,95653.0,2283108.0,0.0,5756109.0
113,164397.0,179282.0,41240.0,97329.0,2286302.0,0.0,5775978.0
114,153971.0,168159.0,39538.0,98939.0,2290325.0,0.0,5793594.0
115,144243.0,157709.0,37873.0,100485.0,2295121.0,0.0,5809097.0
116,135163.0,147895.0,36249.0,101968.0,2300635.0,0.0,5822617.0
117,126689.0,138684.0,34667.0,103389.0,2306817.0,0.0,5834280.0
118,118779.0,130044.0,33130.0,104749.0,2313623.0,0.0,5844202.0
119,111395.0,121942.0,31638.0,106051.0,2321007.0,0.0,5852494.0
120,104499.0,114348.0,30194.0,107295.0,2328931.0,0.0,5859260.0
121,98060.0,107231.0,28797.0,108484.0,2337356.0,0.0,5864598.0
122,92046.0,100565.0,27448.0,109620.0,2346249.0,0.0,5868599.0
123,86427.0,94321.0,26148.0,110703.0,2355577.0,0.0,5871351.0
124,81176.0,88475.0,24895.0,111736.0,2365310.0,0.0,5872935.0
125,76269.0,83001.0,23690.0,112721.0,2375419.0,0.0,5873426.0
126,71682.0,77878.0,22533.0,113659.0,2385878.0,0.0,5872897.0
127,67392.0,73082.0,21422.0,114552.0,2396664.0,0.0,5871415.0
128,63380.0,68594.0,20356.0,115402.0,2407752.0,0.0,5869042.0
129,59627.0,64393.0,19336.0,116211.0,2419122.0,0.0,5865838.0
130,56115.0,60462.0,18359.0,116980.0,2430754.0,0.0,5861858.0
131,52827.0,56783.0,17426.0,117710.0,2442628.0,0.0,5857153.0
132,49750.0,53340.0,16533.0,118404.0,2454729.0,0.0,5851771.0
133,46867.0,50117.0,15682.0,119063.0,2467039.0,0.0,5845759.0
134,44167.0,47101.0,14869.0,119689.0,2479543.0,0.0,5839158.0
135,41637.0,44277.0,14095.0,120283.0,2492227.0,0.0,5832008.0
136,39265.0,41634.0,13357.0,120846.0,2505078.0,0.0,5824347.0
137,37042.0,39159.0,12654.0,121380.0,2518084.0,0.0,5816208.0
138,34957.0,36842.0,11985.0,121887.0,2531232.0,0.0,5807624.0
139,33000.0,34672.0,11350.0,122367.0,2544511.0,0.0,5798627.0
140,31165.0,32639.0,10745.0,122822.0,2557913.0,0.0,5789243.0
141,31062.0,30811.0,10171.0,123253.0,2569692.0,0.0,5779539.0
142,30910.0,29231.0,9628.0,123661.0,2581510.0,0.0,5769586.0
143,30722.0,27862.0,9116.0,124048.0,2593360.0,0.0,5759419.0
144,30508.0,26670.0,8634.0,124414.0,2605238.0,0.0,5749064.0
145,30274.0,25627.0,8182.0,124762.0,2617137.0,0.0,5738545.0
